id,date,league,home,away,status,score_home,score_away,odd_1,odd_X,odd_2,home_avg_rating,home_position,home_form,away_avg_rating,away_position,away_form,h2h_home_wins,h2h_away_wins,h2h_draws,home_total_market_value,away_total_market_value,home_avg_height,away_avg_height,home_defenders,home_midfielders,home_forwards,away_defenders,away_midfielders,away_forwards
13233640,2025-10-15,World Cup Qual. UEFA E,Spain,Bulgaria,Ended,4,0,1.02,19.0,51.0,7.42,1,"W,W,W",6.41,4,"L,L,L",2,0,1,922300000,44024999,181.39,183.91,7,10,3,8,10,2
13233639,2025-10-15,World Cup Qual. UEFA E,TÃ¼rkiye,Georgia,Ended,4,1,1.55,4.2,5.25,6.81,2,"W,L,W",6.78,3,"L,W,L",4,0,1,457475000,203674999,183.74,182.39,8,11,1,6,8,6
13233641,2025-10-15,World Cup Qual. UEFA F,Ireland,Armenia,Ended,1,0,1.42,4.5,7.0,6.89,4,"D,L,L",6.68,3,"L,W,L",3,2,0,214394999,45549999,183.26,180.48,8,9,3,9,9,2
13233642,2025-10-15,World Cup Qual. UEFA F,Portugal,Hungary,Ended,2,2,1.22,6.0,12.0,7.24,1,"W,W,W",6.88,2,"D,L,W",9,0,1,769700000,174450000,182.04,183.13,6,8,6,10,6,4
13233644,2025-10-15,World Cup Qual. UEFA I,Estonia,Moldova,Ended,1,1,2.0,3.3,3.75,6.69,4,"W,L,L,L,L",6.39,5,"L,L,L,L,L",2,0,0,14345000,13123000,184.18,184.76,6,9,5,9,6,5
13233645,2025-10-15,World Cup Qual. UEFA I,Italy,Israel,Ended,3,0,1.22,6.25,13.0,7.14,2,"L,W,W,W,W",6.90,3,"L,W,W,L,L",5,0,1,681300000,74945000,184.52,181.26,8,7,5,7,8,5
13233646,2025-10-15,World Cup Qual. UEFA K,Andorra,Serbia,Ended,1,3,19.0,7.5,1.14,6.52,5,"L,L,L,L,D",6.97,3,"D,W,W,L,L",0,1,0,3379000,206445000,179.89,185.91,11,4,5,5,9,6
13233647,2025-10-15,World Cup Qual. UEFA K,Latvia,England,Ended,0,5,29.0,15.0,1.06,6.75,4,"L,D,L,L,D",7.34,1,"W,W,W,W,W",0,1,0,9455000,1031300000,183.09,184.55,9,8,3,7,8,4
14206125,2025-10-15,"World Cup Qualification, AFC, Round 4, Gr. A",Qatar,United Arab Emirates,Ended,2,1,2.75,3.0,2.88,,2,D,,1,W,3,4,3,20170000,44410000,181.13,178.61,7,10,3,8,9,3
14206126,2025-10-15,"World Cup Qualification, AFC, Round 4, Gr. B",Saudi Arabia,Iraq,Ended,0,0,1.55,3.75,7.0,,1,W,,2,W,5,3,1,28505000,19326000,179.26,182.87,8,8,4,7,9,4
12183396,2025-10-15,"FIFA World Cup, Qualification CAF, Group B",DR Congo,Sudan,Ended,1,0,1.29,5.5,10.0,,2,"W,W,W,L,W",,3,"W,D,D,L,D",1,2,0,82485000,1251000,181.87,180.08,9,5,6,6,6,4
12183365,2025-10-15,"FIFA World Cup, Qualification CAF, Group B",Senegal,Mauritania,Ended,4,0,1.14,7.0,23.0,,1,"D,W,W,W,W",,5,"D,L,W,D,D",2,0,0,279909999,11573000,183.13,182.29,5,10,5,7,9,4
12183394,2025-10-15,"FIFA World Cup, Qualification CAF, Group C",Nigeria,Benin,Ended,4,0,1.4,4.5,8.5,,3,"W,D,W,D,W",,1,"D,L,W,W,W",4,1,1,231725000,17435000,184.29,182.23,6,4,8,6,8,6
12183391,2025-10-15,"FIFA World Cup, Qualification CAF, Group C",South Africa,Rwanda,Ended,3,0,1.2,6.0,19.0,,2,"L,W,W,D,D",,5,"L,D,L,W,L",0,1,0,24085000,4085000,177.68,182.81,10,9,1,10,5,5
12183389,2025-10-15,"FIFA World Cup, Qualification CAF, Group E",Morocco,Congo Republic,Ended,1,0,1.04,15.0,41.0,,1,"W,W,W,W,W",,5,"L,L,L,D",2,0,0,415890000,2182000,182.78,181.2,7,9,4,7,8,5
